country,code,region,year,gdp_per_capita,hdi,life_expectancy,literacy_rate,internet_usage_pct,co2_per_capita,fertility_rate,infant_mortality,education_spending_pct,health_spending_pct,gini_index,political_stability,urbanization_rate,unemployment_rate,renewable_energy_pct,access_to_water_pct,maternal_mortality,population
Bolivia,BOL,Americas,2023,9783.3,0.5129,73.29,92.95,61.19,1.345,3.972,57.04,5.705,7.588,50.24,0.5045,58.62,12.42,48.67,72.72,468.2,322475962
Brazil,BRA,Americas,2023,9390.4,0.584,75.14,94.84,67.61,2.406,3.583,46.11,6.406,8.726,49.95,0.3805,63.52,10.08,48.67,78.06,400.0,272495810
Bulgaria,BGR,Europe,2023,26558.6,0.6197,76.52,94.39,69.42,3.488,3.385,42.71,5.894,9.37,44.87,0.3078,67.88,11.15,49.91,82.28,347.2,63488058
Burkina Faso,BFA,Africa,2023,775.7,0.4393,70.58,90.31,56.2,0.465,4.449,63.78,5.593,6.875,46.98,-0.2677,53.26,14.4,52.16,70.66,535.8,234787039
Cambodia,KHM,Asia,2023,1001.6,0.4698,71.82,92.02,65.08,0.735,4.095,59.76,5.953,7.725,50.48,-0.0325,54.02,14.38,48.14,72.02,504.3,108700172
Cameroon,CMR,Africa,2023,5279.8,0.4625,71.87,89.49,53.97,0.739,4.129,61.28,6.366,7.345,47.21,-0.0348,54.47,12.64,52.89,69.4,535.9,42874697
Canada,CAN,Americas,2023,54904.0,0.8696,83.05,99.9,83.33,14.661,1.958,12.8,7.479,11.703,42.86,1.6951,86.83,7.43,29.98,96.53,94.9,215492581
Chile,CHL,Americas,2023,17313.2,0.6688,77.43,96.76,73.89,4.7,3.12,37.99,7.154,9.214,45.69,0.6554,71.15,8.03,43.69,83.93,299.8,117286187
China,CHN,Asia,2023,50247.9,0.7346,79.04,99.9,77.78,3.898,2.663,29.78,7.274,10.187,45.54,1.098,75.05,12.29,41.27,89.89,245.8,179415760
Colombia,COL,Americas,2023,9926.0,0.5674,74.45,93.15,69.03,2.183,3.775,50.38,5.173,8.13,48.39,-0.022,61.75,12.9,45.08,78.63,412.0,261380008
Congo DR,COD,Africa,2023,853.3,0.417,69.62,90.18,57.6,0.359,4.552,67.62,5.696,7.185,55.27,-0.4818,50.23,11.57,54.05,67.77,569.0,211526337
Croatia,HRV,Europe,2023,27904.4,0.6847,77.85,97.2,76.11,5.136,2.91,34.29,6.473,10.326,43.76,0.9861,71.64,8.98,44.53,87.73,297.1,248255768
Czech Republic,CZE,Europe,2023,32512.8,0.7417,79.5,98.82,76.43,8.424,2.651,30.05,6.582,10.564,44.15,1.3653,75.58,10.2,43.29,88.45,225.3,194275980
Denmark,DNK,Europe,2023,69061.7,0.9408,84.37,99.9,87.16,22.081,1.42,6.75,7.722,12.748,39.15,2.7411,91.68,6.63,31.53,99.9,7.2,77580558
Ecuador,ECU,Americas,2023,6886.3,0.5682,74.85,94.98,64.79,2.044,3.684,49.1,6.137,8.437,51.55,0.0959,63.89,10.26,41.28,78.12,409.3,142841683
Egypt,EGY,Africa,2023,5853.2,0.5332,73.66,93.37,66.58,1.249,3.923,54.61,5.503,7.776,49.49,0.3369,59.74,11.6,43.06,75.95,460.8,211719767
Ethiopia,ETH,Africa,2023,3710.6,0.5326,73.59,92.0,63.99,0.443,3.837,52.58,5.612,8.22,47.94,0.7261,60.72,10.67,49.07,74.58,445.6,195442733
Finland,FIN,Europe,2023,60455.0,0.8878,83.18,99.9,89.05,14.671,1.879,13.63,7.728,12.576,41.99,2.4475,86.97,7.52,32.6,97.85,93.3,217001174
France,FRA,Europe,2023,48529.2,0.8389,81.88,99.87,82.37,15.684,1.934,18.89,7.841,12.848,45.18,1.9422,84.2,7.93,38.4,97.74,128.5,117250622
Germany,DEU,Europe,2023,58873.2,0.8758,82.94,99.9,82.74,18.32,1.794,13.96,7.039,11.782,43.58,1.9467,88.33,9.1,33.68,99.32,85.9,205876687
Ghana,GHA,Africa,2023,6352.7,0.4878,71.96,91.66,61.96,0.901,4.153,58.56,5.454,7.348,52.82,0.2847,56.55,11.52,47.39,72.85,492.1,230494217
Greece,GRC,Europe,2023,21195.8,0.6997,78.55,99.09,77.36,5.947,2.78,32.67,7.159,9.815,44.69,1.4187,71.57,11.39,40.65,85.4,271.3,104403287
Guatemala,GTM,Americas,2023,8806.0,0.5412,73.92,94.42,63.27,1.53,3.871,52.79,5.542,7.975,51.44,0.2141,59.35,11.74,50.44,75.77,444.0,101370312
Hungary,HUN,Europe,2023,22142.9,0.6988,78.59,97.54,77.23,6.268,3.024,34.25,6.635,9.899,46.6,0.611,73.64,10.32,43.2,86.88,286.6,1802653
India,IND,Asia,2023,2271.4,0.482,71.85,91.58,60.49,0.862,4.232,58.6,5.182,7.875,47.2,0.5212,57.14,10.84,54.55,72.16,513.0,74571956
Indonesia,IDN,Asia,2023,10221.9,0.5314,73.06,92.86,65.92,1.679,3.828,52.41,5.696,8.508,48.78,0.3722,60.92,10.74,47.48,77.3,448.5,120016852
Iran,IRN,Asia,2023,13160.5,0.5557,74.2,93.89,63.67,1.853,3.74,50.88,6.198,7.99,45.15,0.2938,60.17,12.03,41.19,77.84,433.3,197652083
Iraq,IRQ,Asia,2023,11848.2,0.5454,74.08,93.72,65.76,1.683,3.91,52.01,6.032,8.956,50.64,0.6677,61.15,12.41,48.23,74.83,437.8,25720174
Ireland,IRL,Europe,2023,102979.1,0.995,85.75,99.9,91.28,28.634,1.07,1.2,8.924,13.47,41.29,2.5565,96.16,7.89,34.15,99.9,2.0,18107040
Israel,ISR,Asia,2023,47943.5,0.8675,83.16,99.9,85.31,18.224,1.836,13.16,6.941,11.737,44.18,1.626,86.52,9.57,31.4,98.76,101.4,50000863
Italy,ITA,Europe,2023,48970.5,0.8029,81.51,99.9,87.1,12.028,2.35,22.33,7.426,10.759,42.28,1.8147,81.0,7.02,35.23,92.96,164.7,220532611
Japan,JPN,Asia,2023,58568.9,0.8529,82.59,99.9,78.6,12.416,1.93,17.09,6.797,12.672,43.02,2.1188,84.17,8.37,35.54,98.18,110.6,246016026
Jordan,JOR,Asia,2023,9538.3,0.5466,74.08,93.25,67.51,1.718,3.926,51.09,5.325,7.659,50.92,0.6119,60.83,11.8,50.75,76.14,420.0,294022024
Kazakhstan,KAZ,Asia,2023,11730.6,0.6132,76.24,94.1,67.79,2.699,3.531,43.92,6.938,9.48,47.95,0.4954,65.33,11.27,44.66,79.29,352.0,94981126
Kenya,KEN,Africa,2023,4939.6,0.4818,72.28,91.32,61.15,0.932,4.172,58.14,5.501,7.069,46.86,-0.1621,54.89,13.62,50.27,72.81,506.2,200361060
Kuwait,KWT,Asia,2023,33645.8,0.7433,79.02,97.75,78.38,9.006,2.517,29.24,6.828,11.1,41.94,1.3651,75.83,9.35,39.88,89.44,231.4,233911892
Latvia,LVA,Europe,2023,26724.8,0.7048,78.3,97.86,74.42,6.323,2.865,33.27,6.952,9.98,45.34,1.287,72.76,9.11,39.54,87.67,270.8,31812672
Lebanon,LBN,Asia,2023,14453.8,0.5959,75.13,94.41,67.26,3.112,3.512,45.69,6.035,8.535,49.53,0.3613,63.89,11.83,47.29,77.65,389.2,94616228
Lithuania,LTU,Europe,2023,25585.4,0.7116,79.36,98.97,74.34,7.163,2.785,33.67,6.65,10.261,43.74,1.2712,75.93,9.12,40.05,87.56,262.9,8073642
Madagascar,MDG,Africa,2023,723.5,0.4187,70.13,88.79,60.74,0.34,4.527,67.38,5.062,7.127,50.84,0.1687,50.19,14.59,56.17,66.22,573.5,131846899
Malaysia,MYS,Asia,2023,11829.6,0.641,77.3,97.19,73.97,3.619,3.293,42.03,6.995,9.56,45.38,0.5368,69.32,9.51,44.08,81.73,333.7,133219609
Mali,MLI,Africa,2023,1726.3,0.4329,70.31,88.63,54.5,0.494,4.633,63.67,5.539,6.803,50.97,-0.6153,52.67,10.4,53.03,68.94,555.0,18109201
Mexico,MEX,Americas,2023,12521.9,0.6164,76.25,96.37,67.69,2.535,3.31,43.95,6.172,9.581,43.64,0.2633,67.2,8.88,43.93,81.14,355.6,135649969
Moldova,MDA,Europe,2023,2884.3,0.5238,73.14,91.41,63.53,1.416,3.946,54.26,6.283,8.144,50.34,0.2973,58.31,12.37,46.48,74.71,460.4,2689809
Morocco,MAR,Africa,2023,7715.6,0.5244,73.78,93.14,63.93,1.334,3.856,55.09,6.126,7.957,48.48,0.0334,59.04,10.2,47.56,75.38,460.0,239205135
Mozambique,MOZ,Africa,2023,834.9,0.4098,69.38,87.92,54.69,0.352,4.58,67.36,4.874,7.313,52.13,-0.3467,52.29,13.67,50.1,67.38,582.0,394095475
Myanmar,MMR,Asia,2023,2885.7,0.4658,71.66,89.93,57.52,0.67,4.3,61.05,4.9,7.628,48.35,0.5343,55.9,10.42,50.01,72.8,524.2,239470883
Nepal,NPL,Asia,2023,877.4,0.4536,70.69,90.34,59.64,0.548,4.311,62.69,5.222,7.645,44.05,-0.3159,54.33,12.62,53.51,70.36,530.6,210212326
Netherlands,NLD,Europe,2023,62978.0,0.9089,83.28,99.9,92.93,17.643,1.719,11.45,7.652,12.778,42.42,2.194,90.05,8.44,30.7,99.9,65.6,35980721
New Zealand,NZL,Oceania,2023,50107.0,0.8597,82.75,99.9,88.27,15.961,1.997,13.92,7.551,12.502,39.96,1.7943,85.96,8.22,36.12,98.38,106.8,178157685
Nicaragua,NIC,Americas,2023,3340.1,0.4835,72.16,90.9,57.62,0.921,4.154,59.19,5.398,7.872,50.3,0.0041,55.78,12.07,46.73,71.11,504.6,352476918
Niger,NER,Africa,2023,594.1,0.405,69.53,86.87,56.5,0.3,4.525,69.03,5.602,6.543,50.61,-0.0234,50.29,12.69,51.75,64.86,584.7,21709083
Nigeria,NGA,Africa,2023,2665.7,0.4884,72.49,91.1,59.45,0.93,4.209,58.29,5.417,7.718,48.37,0.5316,58.19,11.78,47.47,71.85,498.8,368436328
Norway,NOR,Europe,2023,95542.8,0.9946,86.14,99.9,90.2,29.222,1.05,1.2,8.466,14.498,36.08,2.0029,96.69,5.29,31.45,99.9,2.0,213731935
Pakistan,PAK,Asia,2023,3231.3,0.4574,71.8,91.29,57.11,0.644,4.194,62.17,5.162,7.675,51.13,0.045,54.53,11.99,54.01,70.86,526.4,230870751
Panama,PAN,Americas,2023,23738.6,0.6653,77.74,95.86,72.02,4.718,3.073,37.9,5.889,9.322,45.14,0.0277,70.91,8.37,44.85,85.16,305.1,84163168
Peru,PER,Americas,2023,7880.0,0.5805,75.2,92.97,67.87,2.736,3.591,47.88,5.863,8.795,50.94,0.8078,63.2,10.95,46.16,79.17,401.9,177462952
Philippines,PHL,Asia,2023,4292.9,0.5244,73.4,92.36,64.14,1.338,4.037,53.17,6.071,7.344,48.88,0.1672,57.98,9.23,45.13,74.92,452.5,283511311
Poland,POL,Europe,2023,29284.3,0.6967,78.41,98.3,73.83,5.4,2.936,33.64,6.823,9.793,46.33,1.381,70.99,9.15,35.65,86.22,279.1,164832125
Portugal,PRT,Europe,2023,37278.3,0.7532,79.95,98.53,76.97,8.655,2.453,28.44,6.766,10.095,42.29,1.297,78.44,10.06,38.39,91.58,214.3,65970966
Qatar,QAT,Asia,2023,65537.2,0.9075,83.67,99.9,88.71,18.921,1.569,11.2,7.513,13.0,41.86,1.9739,88.73,7.31,28.97,99.9,51.9,33646094
Romania,ROU,Europe,2023,17497.7,0.671,77.67,97.86,69.71,5.353,3.135,38.92,6.915,9.813,43.34,0.7511,69.2,8.84,43.84,84.77,301.6,5717969
Russia,RUS,Europe,2023,24767.8,0.6308,77.06,96.43,67.85,4.332,3.358,42.32,6.516,9.824,44.99,0.6296,67.61,8.94,46.36,81.76,342.6,101988810
Rwanda,RWA,Africa,2023,2587.6,0.5326,73.66,93.3,62.2,0.475,3.842,52.4,5.867,8.61,50.7,0.2294,58.03,11.71,51.9,73.84,463.0,267571039
Saudi Arabia,SAU,Asia,2023,47240.2,0.7382,79.69,98.81,76.33,6.859,2.661,28.92,7.167,10.4,46.92,1.4969,75.97,9.84,41.76,87.64,246.8,183333457
Senegal,SEN,Africa,2023,2074.5,0.4631,71.54,90.62,55.69,0.608,4.289,61.99,4.819,7.317,48.19,-0.5581,54.77,12.93,52.89,71.63,520.9,312543443
Serbia,SRB,Europe,2023,13406.2,0.5964,75.52,95.04,65.97,2.508,3.548,45.59,5.958,8.185,49.38,0.7305,65.6,11.31,41.0,80.03,376.9,163356635
Singapore,SGP,Asia,2023,228740.4,0.995,85.53,99.9,95.59,24.02,1.146,1.2,8.666,13.473,39.43,2.1696,96.87,7.0,29.5,99.9,2.0,217535780
Slovakia,SVK,Europe,2023,34217.3,0.7109,79.19,98.34,78.11,7.059,2.869,33.88,7.055,10.522,49.26,0.7297,74.15,8.84,43.72,85.58,263.4,87072167
Somalia,SOM,Africa,2023,163.8,0.3947,69.12,87.44,49.44,0.293,4.793,70.32,4.584,6.522,50.6,0.089,50.83,11.7,55.07,66.68,592.0,188475945
South Africa,ZAF,Africa,2023,9788.9,0.5635,74.65,94.31,66.41,2.238,3.824,49.17,6.19,8.765,53.37,0.2122,62.29,10.0,43.94,77.98,418.0,114467165
South Korea,KOR,Asia,2023,180836.4,0.8992,83.74,99.9,87.43,11.204,1.75,11.38,7.227,12.034,39.43,2.0745,89.08,9.21,30.39,99.9,48.3,37848981
Spain,ESP,Europe,2023,42494.0,0.7827,80.43,98.67,78.84,11.204,2.445,23.87,6.83,11.322,44.13,1.5967,78.45,8.51,40.78,93.78,176.2,32167967
Sri Lanka,LKA,Asia,2023,4713.5,0.5338,73.98,92.0,64.84,1.655,3.817,53.1,5.648,8.29,49.44,0.047,60.02,13.5,51.21,76.45,446.0,55340994
Sudan,SDN,Africa,2023,1387.2,0.4312,70.05,89.95,54.31,0.467,4.399,65.18,5.281,7.239,49.1,-0.5052,51.66,14.23,58.43,66.58,549.3,382224918
Sweden,SWE,Europe,2023,55940.3,0.9118,83.81,99.9,84.91,19.612,1.63,9.63,7.755,12.602,42.11,1.7326,89.29,7.08,28.31,99.9,45.3,137349250
Switzerland,CHE,Europe,2023,85851.2,0.995,85.8,99.9,95.44,26.61,1.166,1.2,8.262,13.4,39.47,2.266,95.17,5.71,30.54,99.9,2.0,62462353
Syria,SYR,Asia,2023,1206.8,0.4542,71.26,91.27,59.65,0.662,4.461,63.59,4.882,7.23,48.41,-0.0873,54.06,12.68,49.47,68.57,518.9,129711792
Tanzania,TZA,Africa,2023,1666.1,0.4409,70.85,89.35,58.66,0.553,4.519,65.86,4.866,7.47,51.57,0.4385,53.47,13.43,54.32,70.29,556.6,381205480
Thailand,THA,Asia,2023,9550.7,0.5932,75.71,93.63,70.17,2.829,3.355,48.23,5.602,9.148,50.43,-0.1627,64.92,11.95,49.02,81.0,392.6,134406459
Tunisia,TUN,Africa,2023,6576.8,0.5219,73.48,91.98,63.14,1.503,3.942,53.85,5.293,8.092,46.83,-0.1527,58.07,13.15,48.1,74.76,452.3,114136682
Turkey,TUR,Asia,2023,11829.8,0.6118,75.86,95.53,71.02,2.885,3.388,44.95,6.722,9.259,45.87,0.4208,66.16,10.61,38.45,78.77,347.3,153765851
Uganda,UGA,Africa,2023,699.9,0.4436,70.88,89.45,62.11,0.476,4.628,62.36,5.079,6.576,49.75,-0.1392,52.63,12.74,50.43,69.24,536.1,109151420
Ukraine,UKR,Europe,2023,6285.2,0.5357,73.72,92.31,61.29,1.513,3.909,53.87,5.579,8.417,51.82,0.6548,59.85,12.39,47.43,75.1,438.1,50250161
UAE,ARE,Asia,2023,68949.0,0.8375,81.77,99.9,82.66,13.628,1.991,20.13,7.533,12.202,42.91,1.9478,81.87,7.1,34.34,95.51,132.8,248275832
UK,GBR,Europe,2023,94318.1,0.8573,82.99,99.79,79.97,12.914,1.853,15.62,7.661,12.164,43.79,1.5624,85.23,7.64,35.16,96.89,109.6,93899698
USA,USA,Americas,2023,81011.3,0.9577,85.3,99.9,91.79,25.664,1.308,4.83,8.111,12.885,39.89,1.8947,93.52,5.58,26.9,99.9,7.8,27062518
Uruguay,URY,Americas,2023,17945.5,0.6859,78.17,96.1,71.9,5.33,2.877,33.93,6.951,10.635,48.17,1.0685,71.41,12.37,45.18,84.86,299.8,83540894
Venezuela,VEN,Americas,2023,2749.7,0.5227,73.55,92.72,60.92,1.511,3.892,54.57,5.66,7.527,49.55,0.3449,58.24,12.6,45.57,74.35,452.9,315407020
Vietnam,VNM,Asia,2023,17278.2,0.5082,72.94,91.96,61.79,1.255,4.04,57.13,5.395,8.345,48.33,0.1239,56.48,10.82,46.97,71.58,467.5,295063157
Yemen,YEM,Asia,2023,481.5,0.4183,70.03,89.23,50.58,0.421,4.521,65.76,4.911,7.1,52.66,0.2488,50.27,13.42,54.71,68.23,560.9,356731156
Zambia,ZMB,Africa,2023,984.6,0.4445,71.2,89.44,55.85,0.555,4.406,63.25,4.925,7.679,49.67,-0.257,52.85,13.09,56.0,69.23,534.3,76677075
Zimbabwe,ZWE,Africa,2023,613.4,0.4607,71.37,91.89,57.92,0.591,4.348,62.1,5.005,7.265,48.72,0.0129,55.09,12.15,52.69,68.86,531.3,63531126
Palestine,PSE,Asia,2023,2902.8,0.5151,73.44,91.83,62.23,1.263,3.927,54.36,5.139,7.562,48.42,0.3036,57.49,11.88,48.02,75.34,463.1,328033361
Luxembourg,LUX,Europe,2023,146156.0,0.995,85.89,99.9,94.45,37.439,1.075,1.2,7.999,14.454,40.44,2.3212,97.93,4.74,34.21,99.9,2.0,222172812
Iceland,ISL,Europe,2023,85553.3,0.9662,85.02,99.9,94.77,24.35,1.29,4.45,8.767,13.208,39.21,2.0675,91.78,7.53,30.73,99.9,2.0,31695315
Malta,MLT,Europe,2023,52149.2,0.7808,80.62,99.9,85.74,10.11,2.468,23.8,7.778,10.847,43.65,1.5569,78.64,9.93,36.18,93.29,196.7,182185197
Cyprus,CYP,Asia,2023,53002.5,0.7697,80.66,98.84,77.99,9.83,2.521,26.32,6.974,10.665,49.34,1.4618,79.47,9.95,37.19,91.6,193.6,133547236
Botswana,BWA,Africa,2023,12528.1,0.5965,75.15,96.65,69.59,3.106,3.464,45.93,5.959,8.984,51.32,0.2471,64.93,11.28,45.19,80.96,367.8,214677722
Mauritius,MUS,Africa,2023,15409.7,0.635,76.66,95.74,70.03,3.843,3.319,42.78,6.495,9.851,48.43,0.8004,67.32,10.86,48.67,83.68,351.5,115358593
Dominican Republic,DOM,Americas,2023,13621.7,0.597,75.39,94.04,69.56,3.558,3.551,46.89,5.833,8.484,46.72,0.4117,64.23,11.1,41.96,80.78,378.0,248730878
Bahrain,BHR,Asia,2023,33916.7,0.7655,80.03,99.71,81.35,8.848,2.439,24.22,7.564,11.725,45.84,1.3381,77.65,8.97,42.79,91.92,186.8,204460031
Estonia,EST,Europe,2023,45249.6,0.7425,79.51,99.9,74.61,7.662,2.652,31.45,7.639,10.691,45.4,1.4096,75.44,9.1,43.77,89.86,244.0,213686345
Slovenia,SVN,Europe,2023,31818.2,0.766,80.32,98.22,83.34,8.409,2.426,26.98,6.844,10.47,46.34,1.3828,79.05,8.37,37.4,91.59,206.5,101407510
Ivory Coast,CIV,Africa,2023,5993.5,0.4816,72.02,89.61,59.07,0.967,4.087,59.08,5.104,8.297,50.21,0.3053,56.27,13.13,53.38,71.99,498.1,126815258
Gabon,GAB,Africa,2023,10829.6,0.6048,75.94,95.22,66.86,3.061,3.423,44.62,6.233,8.81,45.44,0.3593,66.54,12.46,50.94,81.45,354.4,279319571
Chad,TCD,Africa,2023,1881.0,0.4264,69.79,88.11,56.2,0.361,4.456,64.18,5.807,7.357,49.58,0.2424,52.83,14.46,50.66,67.83,551.5,205669185
Bhutan,BTN,Asia,2023,4703.9,0.5266,73.21,92.17,67.79,1.289,3.809,54.65,5.647,8.298,48.67,-0.04,59.73,13.2,46.83,73.94,453.7,268274924
Maldives,MDV,Asia,2023,18369.5,0.6276,76.54,95.18,73.45,4.159,3.373,42.21,5.759,9.403,46.36,0.6983,66.95,9.77,44.38,80.4,357.3,165492404
Suriname,SUR,Americas,2023,12729.9,0.5706,75.0,94.3,66.34,2.156,3.618,50.08,5.906,8.437,51.67,0.8144,63.03,10.73,45.61,76.84,416.5,237342009
Fiji,FJI,Oceania,2023,11010.9,0.5574,74.43,92.98,63.09,2.145,3.82,50.64,5.654,8.534,48.86,0.377,62.31,10.89,37.65,76.87,428.2,190791605
Papua New Guinea,PNG,Oceania,2023,2019.5,0.4998,72.91,92.93,64.34,0.934,3.928,55.76,5.687,7.589,54.28,0.1561,58.39,13.3,46.41,72.18,495.5,67734456
Liberia,LBR,Africa,2023,1383.3,0.4177,69.79,90.66,55.16,0.381,4.475,67.03,4.654,6.74,48.83,0.0706,51.31,13.13,56.78,67.62,577.7,63607181
Benin,BEN,Africa,2023,1603.1,0.4453,71.08,89.79,59.88,0.542,4.358,62.66,5.017,7.019,52.56,0.1273,53.29,12.86,48.32,70.8,541.9,369123439
Costa Rica,CRI,Americas,2023,20539.2,0.6465,77.21,95.89,73.66,3.739,3.174,40.66,6.702,9.468,45.3,0.7976,67.02,9.91,37.6,82.15,317.8,143964053
Honduras,HND,Americas,2023,4641.1,0.5027,72.6,91.33,62.75,1.002,4.062,57.88,5.282,7.789,48.34,0.303,57.78,11.15,47.69,72.62,474.4,254336297
El Salvador,SLV,Americas,2023,7955.2,0.535,73.2,92.78,65.25,1.579,3.839,53.46,5.38,7.797,49.53,0.4702,60.63,11.22,51.28,74.23,443.9,229825040
Paraguay,PRY,Americas,2023,6646.1,0.5608,75.0,93.52,67.9,2.003,3.664,51.5,5.801,8.44,48.48,0.601,61.7,8.65,50.44,77.85,412.1,290353032
Jamaica,JAM,Americas,2023,9068.2,0.5688,74.21,93.23,68.38,2.143,3.615,48.53,5.837,8.591,46.73,0.9239,62.19,12.93,47.87,79.1,398.8,155020049
Trinidad & Tobago,TTO,Americas,2023,18503.3,0.6836,78.12,98.08,76.47,4.618,2.994,35.08,6.621,9.76,42.04,0.6926,72.27,10.21,38.75,85.0,292.2,205845884
Mongolia,MNG,Asia,2023,9077.0,0.5328,73.6,94.37,64.66,1.387,3.926,54.88,5.698,8.278,47.75,0.3963,59.12,10.65,47.06,75.63,457.4,286215734
Georgia,GEO,Asia,2023,12983.8,0.5453,74.23,92.76,61.28,1.703,3.797,53.34,6.596,8.478,48.39,0.0429,59.72,12.85,43.17,77.07,454.5,144986494
Armenia,ARM2,Asia,2023,10151.8,0.545,74.38,93.42,61.61,1.594,3.769,53.5,6.115,8.826,46.63,-0.0039,61.47,10.91,48.47,76.76,432.6,220358223
Kyrgyzstan,KGZ,Asia,2023,2603.5,0.4535,70.96,90.26,62.24,0.546,4.434,62.58,3.841,7.097,57.38,-0.6325,54.88,13.06,48.55,70.64,535.2,369920314
Tajikistan,TJK,Asia,2023,617.2,0.4365,70.47,90.47,53.24,0.489,4.518,65.26,5.188,6.906,55.41,-0.3812,53.14,12.78,52.97,69.29,541.0,305462112
Uzbekistan,UZB,Asia,2023,1295.9,0.4722,71.69,90.27,61.03,0.806,4.406,61.71,5.37,7.033,50.33,0.0903,53.93,12.09,51.11,71.36,504.4,16331213
Turkmenistan,TKM,Asia,2023,8122.2,0.5952,75.53,94.39,67.52,2.945,3.556,44.52,5.621,8.889,48.47,0.5144,64.42,9.68,48.33,79.8,396.4,50609622
Azerbaijan,AZE,Asia,2023,4967.1,0.5434,74.27,94.1,59.61,1.57,3.833,53.14,5.965,7.832,48.69,0.575,60.02,10.6,45.98,75.3,435.7,250345483
Namibia,NAM,Africa,2023,6485.8,0.5425,74.17,93.55,61.49,1.82,3.962,52.38,5.05,8.082,48.51,0.9339,59.67,11.31,44.5,77.15,435.4,92733835
Zambia2,ZMB2,Africa,2023,3273.3,0.4449,70.81,89.37,59.0,0.584,4.375,63.13,5.6,7.899,51.25,-0.0004,54.88,12.96,52.35,68.9,546.4,372999658
Malawi,MWI,Africa,2023,279.1,0.4159,69.8,89.29,57.16,0.339,4.621,65.83,4.767,6.324,49.74,-0.3239,50.05,13.67,51.29,67.04,558.8,54331147
Sierra Leone,SLE,Africa,2023,406.9,0.4133,70.24,88.75,54.58,0.336,4.615,67.9,4.805,6.668,50.65,-0.2196,50.86,15.14,51.45,66.52,567.5,372577322
Guinea,GIN,Africa,2023,1045.1,0.4417,71.34,89.97,55.98,0.525,4.331,64.76,4.973,7.543,50.93,0.0627,52.39,11.33,48.25,67.18,541.2,115938402
Haiti,HTI,Americas,2023,1901.1,0.4566,71.09,90.38,63.03,0.643,4.356,61.47,5.132,7.733,48.01,0.3847,54.8,11.14,55.56,68.67,515.7,113457506
North Macedonia,MKD,Europe,2023,6673.7,0.5712,74.7,94.4,62.42,2.459,3.757,48.83,5.456,7.817,50.13,1.0259,63.03,9.75,43.27,79.46,409.6,207410698
Montenegro,MNE,Europe,2023,15164.0,0.6025,75.73,95.48,69.66,2.821,3.531,46.36,6.471,8.447,49.56,0.7507,65.99,8.24,40.91,79.88,361.0,241842581
Kosovo,XKX,Europe,2023,7953.9,0.5521,74.27,93.78,69.0,1.987,3.682,51.17,6.259,7.992,47.5,0.3019,61.95,12.34,50.77,76.84,420.0,270410692
Bosnia,BIH,Europe,2023,13090.0,0.5681,74.58,93.72,67.05,2.193,3.657,48.95,6.112,8.839,46.8,-0.1264,63.28,12.23,48.49,79.94,418.0,10005124
Albania2,ALB2,Europe,2023,5827.4,0.5627,75.02,94.14,62.43,2.277,3.773,50.84,6.273,8.336,50.2,0.2515,61.27,10.25,48.97,76.97,428.9,54340673
Belarus,BLR,Europe,2023,14378.4,0.5785,74.98,93.63,60.13,2.72,3.66,49.49,6.452,8.813,49.85,0.4333,63.86,10.43,46.31,79.25,405.8,34400191
