country,code,region,year,gdp_per_capita,hdi,life_expectancy,literacy_rate,internet_usage_pct,co2_per_capita,fertility_rate,infant_mortality,education_spending_pct,health_spending_pct,gini_index,political_stability,urbanization_rate,unemployment_rate,renewable_energy_pct,access_to_water_pct,maternal_mortality,population
Brazil,BRA,Americas,2022,9345.9,0.586,75.08,93.8,62.21,2.343,3.618,47.39,5.561,9.703,44.98,0.8429,62.54,11.52,44.41,77.9,398.2,267513903
Brazil,BRA,Americas,2023,9390.4,0.584,75.14,94.84,67.61,2.406,3.583,46.11,6.406,8.726,49.95,0.3805,63.52,10.08,48.67,78.06,400.0,272495810
China,CHN,Asia,2010,19882.1,0.6436,77.26,91.63,34.72,4.355,3.661,46.01,6.284,9.553,46.63,0.9015,64.56,8.76,38.52,78.5,380.9,142009425
China,CHN,Asia,2011,21965.8,0.6506,76.93,91.74,35.74,4.084,3.419,44.04,6.251,9.958,47.06,0.9868,66.17,12.14,34.49,78.18,365.6,144837033
China,CHN,Asia,2012,23895.6,0.6576,77.09,93.4,36.64,4.218,3.375,42.67,6.49,10.752,48.78,0.6272,67.3,8.41,30.18,79.43,366.0,147450056
China,CHN,Asia,2013,25530.9,0.6646,77.59,93.83,43.53,3.942,3.372,43.29,6.428,10.316,40.83,1.4652,65.94,9.27,34.69,80.22,358.2,150368327
China,CHN,Asia,2014,27785.0,0.6716,77.59,94.19,47.68,3.411,3.254,41.29,5.892,9.685,49.56,0.81,66.65,10.92,32.55,81.52,337.5,152769044
China,CHN,Asia,2015,29957.6,0.6786,78.28,94.19,46.87,3.941,3.09,40.81,7.345,9.628,46.52,0.462,69.54,8.79,33.98,80.82,333.4,155674895
China,CHN,Asia,2016,32430.1,0.6856,77.79,93.89,53.01,3.354,3.209,39.35,6.823,9.391,48.5,1.167,69.34,7.92,36.15,82.46,312.7,158687439
China,CHN,Asia,2017,35034.6,0.6926,77.98,95.21,56.71,4.603,2.933,39.49,6.92,10.278,43.37,1.1765,70.13,11.21,33.98,83.76,300.4,161051393
China,CHN,Asia,2018,38072.1,0.6996,78.95,95.8,54.68,3.636,3.173,35.92,7.317,9.952,44.02,1.2663,72.2,10.63,37.43,86.01,301.1,163746281
China,CHN,Asia,2019,40636.5,0.7066,78.98,96.37,64.07,3.716,2.837,33.62,6.37,10.149,45.75,1.3625,72.03,8.46,33.61,86.22,293.2,167115667
China,CHN,Asia,2020,40972.2,0.7136,79.1,97.85,67.45,3.552,2.91,33.73,5.805,10.519,43.54,0.9827,73.26,7.57,38.87,86.14,263.7,170230640
China,CHN,Asia,2021,44446.8,0.7206,79.12,97.35,75.81,3.883,2.892,32.32,7.072,10.818,45.49,0.4833,74.1,10.83,40.56,87.93,245.6,173297365
China,CHN,Asia,2022,46956.8,0.7276,79.29,97.57,73.15,3.601,2.74,31.57,7.437,10.292,44.51,1.5267,76.54,9.84,38.74,87.71,233.3,176315906
China,CHN,Asia,2023,50247.9,0.7346,79.04,99.9,77.78,3.898,2.663,29.78,7.274,10.187,45.54,1.098,75.05,12.29,41.27,89.89,245.8,179415760
Egypt,EGY,Africa,2010,4315.0,0.4888,72.41,86.33,29.1,1.482,4.33,64.17,5.594,7.491,50.22,0.255,53.9,11.41,36.62,66.87,539.0,148003918
Egypt,EGY,Africa,2011,4442.5,0.4972,72.64,89.87,31.86,1.121,4.302,62.76,5.269,7.796,47.63,0.2307,52.14,13.41,35.18,67.89,528.1,152062928
Egypt,EGY,Africa,2012,4607.9,0.4987,72.41,87.5,33.46,1.302,4.364,62.45,5.81,7.658,51.94,0.0973,53.38,14.63,35.18,67.82,523.4,157112171
Egypt,EGY,Africa,2013,4611.2,0.4999,73.07,89.39,37.81,1.361,4.235,62.31,5.444,7.563,44.39,0.1264,55.62,13.51,41.56,68.13,530.3,161973461
Egypt,EGY,Africa,2014,4809.7,0.5032,73.03,89.85,37.91,1.395,4.363,58.92,5.278,8.424,51.35,0.3106,54.76,10.9,40.3,71.67,510.6,166487703
Egypt,EGY,Africa,2015,4848.9,0.5072,73.16,89.4,32.03,1.433,4.07,58.24,4.847,7.054,49.48,-0.0224,54.39,11.94,39.4,71.67,519.1,171310562
Egypt,EGY,Africa,2016,5055.6,0.5067,73.23,89.01,48.34,1.563,4.134,59.07,5.186,7.629,46.17,0.3003,54.69,12.64,45.42,68.86,516.3,175147931
Egypt,EGY,Africa,2017,5259.2,0.5102,72.66,89.95,49.53,1.488,4.27,58.24,5.834,7.519,49.26,0.5052,57.37,12.0,43.39,70.3,494.5,180348048
Egypt,EGY,Africa,2018,5390.4,0.5193,73.12,91.02,53.19,1.331,4.103,56.26,6.472,8.406,48.23,0.0204,57.44,11.36,50.49,71.04,483.8,184928726
Egypt,EGY,Africa,2019,5479.0,0.519,73.05,90.77,55.75,1.337,4.045,56.67,5.548,8.695,49.33,-0.2042,59.18,12.1,44.32,74.51,472.8,190022892
Egypt,EGY,Africa,2020,5360.5,0.5194,73.5,89.91,55.18,1.401,4.082,56.1,5.253,8.036,46.27,-0.3017,58.77,12.46,47.62,74.88,469.3,195435675
Egypt,EGY,Africa,2021,5497.1,0.5184,73.17,90.23,52.14,1.496,3.872,56.3,5.435,8.396,44.88,0.4001,58.61,12.21,50.44,73.73,452.1,200809538
Egypt,EGY,Africa,2022,5599.8,0.5173,73.04,93.31,56.23,1.426,4.003,55.15,5.448,8.036,47.45,-0.1704,58.7,13.08,50.52,73.0,458.8,206210642
Egypt,EGY,Africa,2023,5853.2,0.5332,73.66,93.37,66.58,1.249,3.923,54.61,5.503,7.776,49.49,0.3369,59.74,11.6,43.06,75.95,460.8,211719767
France,FRA,Europe,2010,41367.0,0.8008,81.38,96.52,37.18,16.343,2.534,29.0,6.77,12.256,40.89,1.7905,76.37,7.65,29.34,89.69,209.0,101791597
France,FRA,Europe,2011,42794.6,0.8022,80.81,95.71,41.69,12.864,2.511,28.8,7.21,11.1,45.35,1.4309,77.75,7.97,28.73,87.73,219.5,103044850
France,FRA,Europe,2012,43082.1,0.8075,81.54,97.38,41.56,12.543,2.322,26.32,7.504,11.393,42.17,1.8978,76.27,9.79,26.67,89.62,199.9,104060520
France,FRA,Europe,2013,44180.5,0.8152,81.54,96.99,47.02,12.815,2.352,23.7,7.116,11.434,41.81,1.4726,79.83,9.17,33.33,88.83,188.7,105119795
France,FRA,Europe,2014,44233.0,0.8154,81.48,97.5,55.65,13.44,2.543,25.05,7.764,11.906,43.24,1.4048,79.82,8.83,27.87,91.24,197.8,106397023
France,FRA,Europe,2015,44715.8,0.8167,81.65,96.85,59.03,13.274,2.238,25.4,7.903,12.189,39.95,2.0158,79.63,10.66,32.21,91.84,182.5,107890565
France,FRA,Europe,2016,45221.9,0.8208,81.41,98.34,60.93,14.411,2.461,23.82,7.828,11.676,46.92,2.2653,80.98,6.96,29.32,92.55,177.8,108965224
France,FRA,Europe,2017,47263.4,0.8331,82.12,98.75,66.6,13.378,2.215,20.34,6.971,12.019,45.43,2.1938,81.02,9.76,35.22,92.86,168.3,110065334
France,FRA,Europe,2018,48363.8,0.829,81.52,99.45,63.26,14.202,2.032,19.9,7.76,11.529,40.91,1.9862,82.0,9.1,31.74,96.79,152.7,111174650
France,FRA,Europe,2019,49703.6,0.8279,81.75,99.48,76.24,13.435,2.124,22.41,7.488,11.648,41.75,1.7626,82.86,9.01,31.64,92.72,122.5,112650004
France,FRA,Europe,2020,46413.5,0.8319,81.74,99.9,73.18,13.777,2.236,20.23,7.496,11.543,43.97,1.7414,83.3,7.32,32.35,95.52,148.6,113885260
France,FRA,Europe,2021,48009.6,0.8389,82.48,99.9,74.16,13.541,2.085,19.68,7.476,11.581,43.38,1.5806,83.82,6.96,31.18,97.02,153.3,114619666
France,FRA,Europe,2022,47562.3,0.8368,82.21,99.9,83.23,13.476,2.242,18.34,7.603,11.939,40.47,1.5855,83.57,7.44,42.45,94.69,142.8,116028985
France,FRA,Europe,2023,48529.2,0.8389,81.88,99.87,82.37,15.684,1.934,18.89,7.841,12.848,45.18,1.9422,84.2,7.93,38.4,97.74,128.5,117250622
Germany,DEU,Europe,2010,48348.2,0.8451,82.44,97.29,40.74,15.412,2.312,23.84,7.456,12.958,39.47,1.6378,80.02,8.32,19.35,92.99,180.7,192425912
Germany,DEU,Europe,2011,49502.4,0.8428,82.47,95.62,41.67,16.423,2.271,22.31,7.648,11.664,42.22,1.9796,81.64,6.69,22.92,91.22,170.8,193770744
Germany,DEU,Europe,2012,50850.5,0.8484,82.64,97.89,42.75,13.012,2.14,21.98,8.011,12.098,48.49,1.3004,81.65,7.28,27.37,94.6,175.7,194569796
Germany,DEU,Europe,2013,51032.1,0.8455,82.34,97.33,51.11,17.382,2.189,21.56,7.644,12.225,40.34,1.7779,82.78,8.54,27.75,93.46,163.8,195574214
Germany,DEU,Europe,2014,53197.9,0.8546,82.07,98.14,53.7,18.413,2.062,20.34,7.922,11.745,43.23,1.7873,83.37,8.54,29.9,93.95,133.3,196941717
Germany,DEU,Europe,2015,54275.7,0.8512,82.63,98.67,57.73,16.641,2.144,19.07,8.058,12.063,42.23,1.8512,82.81,8.71,30.56,94.74,157.0,197691282
Germany,DEU,Europe,2016,55380.3,0.8543,82.47,99.58,56.88,14.751,2.028,18.41,7.663,12.022,45.76,1.4305,83.33,6.69,24.48,95.2,144.4,198968301
Germany,DEU,Europe,2017,55408.0,0.8673,82.98,99.9,67.51,18.955,2.087,18.01,8.02,11.853,44.1,1.5211,84.08,3.89,31.11,95.0,130.3,200211897
Germany,DEU,Europe,2018,57370.6,0.8646,82.32,99.9,73.0,16.234,1.991,17.0,7.117,11.951,46.09,2.093,83.79,6.93,37.22,94.77,114.4,201570795
Germany,DEU,Europe,2019,58762.3,0.8633,82.22,99.9,69.14,16.351,1.902,17.26,7.629,12.829,43.55,1.2698,83.52,7.71,28.88,92.74,128.3,202231742
Germany,DEU,Europe,2020,55963.4,0.8699,82.65,99.9,74.29,14.675,1.896,16.24,8.07,12.137,42.17,2.0397,85.52,8.02,32.44,97.4,98.0,203519003
Germany,DEU,Europe,2021,56320.2,0.8786,83.45,99.9,81.38,17.364,1.943,14.1,7.297,12.371,40.39,1.5583,85.76,10.44,33.06,98.58,83.7,204559241
Germany,DEU,Europe,2022,56761.7,0.8774,83.28,99.9,81.15,17.587,1.821,13.7,7.462,11.568,43.4,1.7719,84.14,7.56,36.98,96.9,85.0,204808697
Germany,DEU,Europe,2023,58873.2,0.8758,82.94,99.9,82.74,18.32,1.794,13.96,7.039,11.782,43.58,1.9467,88.33,9.1,33.68,99.32,85.9,205876687
India,IND,Asia,2010,2085.3,0.4451,70.97,84.49,21.16,0.708,4.606,69.0,4.835,6.847,49.96,-0.3129,50.0,13.48,48.34,65.61,594.6,51629221
India,IND,Asia,2011,2095.0,0.4526,71.21,84.99,27.05,0.642,4.531,68.64,5.354,7.295,53.12,0.022,49.86,11.73,41.0,64.64,588.4,53170010
India,IND,Asia,2012,2095.6,0.459,71.5,86.52,29.83,0.836,4.464,67.53,4.948,7.05,51.41,0.2071,51.7,11.23,40.9,66.2,563.3,54514392
India,IND,Asia,2013,2120.7,0.4483,71.09,86.32,30.2,0.892,4.361,67.7,5.375,6.79,50.54,-0.1455,51.5,16.84,44.48,66.41,569.5,56179033
India,IND,Asia,2014,2129.8,0.4641,71.77,88.08,35.18,0.864,4.475,65.79,5.413,7.321,47.75,-0.0345,53.01,11.9,46.32,68.04,554.3,57857371
India,IND,Asia,2015,2144.7,0.4614,71.6,87.31,39.31,0.862,4.46,64.72,4.632,7.553,48.0,-0.1695,51.22,12.19,50.84,67.8,550.4,59562056
India,IND,Asia,2016,2165.4,0.4622,71.27,88.5,40.61,0.709,4.483,63.57,4.869,7.823,47.05,-0.6688,53.09,12.09,44.66,67.45,552.6,61220056
India,IND,Asia,2017,2180.2,0.4679,71.98,88.78,43.47,0.871,4.467,63.27,5.256,7.244,51.38,0.0263,51.99,12.87,50.35,70.5,536.9,62911892
India,IND,Asia,2018,2199.0,0.4704,71.9,90.49,42.56,0.879,4.413,62.68,5.598,7.819,46.49,0.5068,52.33,10.99,45.8,71.5,531.6,64622749
India,IND,Asia,2019,2198.5,0.4777,71.87,90.87,47.78,0.721,4.295,60.2,5.41,7.534,47.73,0.5756,54.58,13.3,49.88,72.2,512.8,66428923
India,IND,Asia,2020,2147.8,0.4705,71.49,88.87,52.42,0.8,4.483,63.6,5.321,8.229,52.8,-0.1087,52.49,12.09,46.24,70.24,526.6,68092424
India,IND,Asia,2021,2234.5,0.4801,71.82,90.16,53.85,0.763,4.329,59.97,5.319,7.511,48.89,0.209,54.77,13.46,46.81,71.01,501.4,70149587
India,IND,Asia,2022,2243.0,0.4847,72.2,91.33,54.35,0.802,4.147,61.38,5.124,7.285,46.98,0.2379,56.09,13.49,51.23,70.1,496.6,72348265
India,IND,Asia,2023,2271.4,0.482,71.85,91.58,60.49,0.862,4.232,58.6,5.182,7.875,47.2,0.5212,57.14,10.84,54.55,72.16,513.0,74571956
Jordan,JOR,Asia,2010,5612.1,0.5087,72.79,88.57,31.27,1.625,4.251,62.76,5.69,8.0,51.14,0.5887,53.35,10.63,36.31,66.79,525.3,233031003
Jordan,JOR,Asia,2011,5914.1,0.5051,73.01,87.63,32.45,1.571,4.364,61.61,4.979,7.423,49.87,-0.0114,55.63,10.53,42.65,68.22,536.1,236985195
Jordan,JOR,Asia,2012,6058.3,0.5097,72.99,87.91,30.62,1.584,4.327,61.89,5.639,8.361,46.5,0.1024,55.47,11.73,39.47,68.02,500.2,241701936
Jordan,JOR,Asia,2013,6282.5,0.5149,73.0,88.58,35.19,1.566,4.208,59.01,5.967,8.007,47.45,0.1285,56.85,12.8,41.53,69.49,511.9,246387304
Jordan,JOR,Asia,2014,6664.1,0.5133,73.1,88.74,46.15,1.769,4.172,59.57,5.913,8.359,42.36,0.3898,55.98,10.27,44.31,73.2,509.5,250828664
Jordan,JOR,Asia,2015,6835.7,0.5201,73.26,89.03,41.84,1.541,4.194,58.41,5.378,8.032,48.33,0.1893,57.38,11.43,40.48,69.74,493.8,255506961
Jordan,JOR,Asia,2016,7166.8,0.5273,73.44,89.72,45.84,1.498,4.071,56.5,5.469,8.29,46.0,-0.0812,57.83,11.64,43.21,72.65,482.8,259308372
Jordan,JOR,Asia,2017,7450.5,0.526,72.78,89.7,51.21,1.714,3.81,55.5,5.909,7.882,42.59,0.5638,58.44,10.69,47.29,71.62,474.7,264301110
Jordan,JOR,Asia,2018,7856.5,0.5309,73.75,91.49,46.63,1.556,3.965,55.1,5.836,8.646,51.4,0.1941,58.71,12.16,46.03,72.25,485.1,268974911
Jordan,JOR,Asia,2019,8252.1,0.5307,73.99,91.45,50.56,1.546,3.859,55.39,5.628,8.243,51.44,0.2834,58.47,11.39,39.41,74.51,465.6,274567136
Jordan,JOR,Asia,2020,8467.2,0.5321,73.69,90.85,55.8,2.1,4.095,54.86,5.748,7.793,46.66,0.3957,58.63,12.7,50.43,74.58,462.2,279754954
Jordan,JOR,Asia,2021,8717.5,0.5395,73.71,91.57,60.52,1.646,3.903,52.36,5.418,8.926,46.84,0.2706,60.17,10.24,50.28,75.09,447.7,283944395
Jordan,JOR,Asia,2022,8976.2,0.5389,74.32,92.98,66.43,1.866,4.007,52.16,5.941,8.094,44.64,0.7438,59.93,10.27,45.8,74.49,440.6,288971761
Jordan,JOR,Asia,2023,9538.3,0.5466,74.08,93.25,67.51,1.718,3.926,51.09,5.325,7.659,50.92,0.6119,60.83,11.8,50.75,76.14,420.0,294022024
Lebanon,LBN,Asia,2010,9768.0,0.5592,74.9,89.26,35.2,2.837,4.011,55.33,6.2,8.08,48.53,0.296,58.34,12.59,35.57,73.35,469.5,75714415
Lebanon,LBN,Asia,2011,9923.7,0.5708,75.23,88.56,33.11,3.083,3.862,53.58,5.383,8.271,44.01,0.4852,60.41,9.64,37.74,74.23,456.6,77086054
Lebanon,LBN,Asia,2012,10370.3,0.5702,74.72,91.33,36.97,2.19,3.892,52.27,6.079,9.678,50.73,0.5385,59.24,12.69,39.7,73.26,448.9,78187974
Lebanon,LBN,Asia,2013,10785.1,0.5719,74.77,90.88,40.82,3.06,3.863,53.54,6.58,8.053,51.44,0.3923,60.76,10.75,36.42,74.67,455.9,79465895
Lebanon,LBN,Asia,2014,11167.0,0.5663,74.77,90.39,43.91,2.75,3.804,54.41,6.346,8.557,47.63,0.8043,61.14,12.44,38.34,73.32,462.4,81131709
Lebanon,LBN,Asia,2015,11657.6,0.5827,74.83,91.75,48.98,3.196,3.762,53.35,6.209,9.21,47.61,0.3035,60.86,11.23,39.06,73.5,420.0,82688628
Lebanon,LBN,Asia,2016,12096.5,0.5814,74.92,91.53,50.96,2.478,3.626,49.45,5.853,8.1,44.0,0.4517,62.11,9.93,41.63,76.06,429.9,83770368
Lebanon,LBN,Asia,2017,12244.4,0.5857,74.96,92.26,52.12,2.8,3.723,49.37,5.229,9.221,49.6,1.2366,60.46,11.87,35.27,78.73,420.9,85143878
Lebanon,LBN,Asia,2018,12785.6,0.5877,75.23,90.7,56.71,3.009,3.544,48.99,6.395,8.906,43.68,0.2051,64.56,11.03,45.07,79.37,407.2,86550574
Lebanon,LBN,Asia,2019,13176.5,0.5903,75.51,94.12,54.07,3.021,3.677,49.45,5.547,8.986,51.15,0.5287,63.8,11.85,39.51,79.94,408.2,88112934
Lebanon,LBN,Asia,2020,13377.2,0.5915,75.77,92.92,62.28,2.712,3.547,47.68,6.014,9.264,44.48,0.3925,63.92,11.57,38.23,77.27,384.9,89795884
Lebanon,LBN,Asia,2021,13828.6,0.6019,75.82,94.41,63.52,2.495,3.395,45.61,6.466,8.888,46.0,0.4552,64.7,12.82,43.27,78.38,384.2,91490205
Lebanon,LBN,Asia,2022,14012.7,0.5971,75.49,93.14,67.12,2.648,3.638,46.1,5.902,8.777,47.58,0.3444,64.13,11.58,41.66,80.06,391.6,93160577
Lebanon,LBN,Asia,2023,14453.8,0.5959,75.13,94.41,67.26,3.112,3.512,45.69,6.035,8.535,49.53,0.3613,63.89,11.83,47.29,77.65,389.2,94616228
Morocco,MAR,Africa,2010,4461.7,0.4834,71.78,86.4,28.84,1.251,4.379,64.39,5.055,7.442,47.42,0.3467,51.69,12.35,39.83,68.0,561.2,167668522
Morocco,MAR,Africa,2011,4664.9,0.491,72.18,87.34,30.2,1.017,4.382,62.94,5.814,7.387,49.89,0.141,51.83,11.72,41.23,69.02,540.6,172586371
Morocco,MAR,Africa,2012,4935.0,0.4914,72.54,87.22,33.84,1.26,4.332,63.1,5.47,7.749,49.29,-0.1977,53.55,12.42,41.23,69.36,541.0,177071854
Morocco,MAR,Africa,2013,5180.5,0.4974,72.6,87.36,36.13,1.183,4.17,62.67,5.395,6.575,49.6,0.2129,56.2,12.03,44.71,69.8,521.0,182162752
Morocco,MAR,Africa,2014,5436.9,0.4892,72.34,86.24,36.63,1.281,4.228,63.34,5.852,7.264,48.54,0.3799,54.08,10.46,42.2,67.84,539.2,186797732
Morocco,MAR,Africa,2015,5825.5,0.4961,72.54,88.99,40.33,1.417,4.261,61.79,5.506,7.738,51.03,0.3884,53.43,12.02,49.3,69.2,522.7,192138813
Morocco,MAR,Africa,2016,6038.9,0.5029,72.76,89.75,44.07,1.381,4.271,59.01,5.613,7.167,49.24,0.3321,54.52,11.47,43.71,70.88,505.8,197828835
Morocco,MAR,Africa,2017,6331.3,0.5003,72.52,89.51,47.11,1.204,4.255,60.75,5.41,8.171,44.72,-0.5088,56.54,11.49,51.2,70.71,498.6,202908462
Morocco,MAR,Africa,2018,6592.4,0.5039,72.91,90.91,50.06,1.309,4.227,58.14,5.35,8.062,44.38,0.5644,56.62,12.14,40.35,69.92,495.7,209256992
Morocco,MAR,Africa,2019,6767.7,0.5045,73.22,92.14,52.49,1.283,4.113,56.9,5.427,7.671,47.52,0.28,56.79,12.89,44.69,72.63,494.3,215362508
Morocco,MAR,Africa,2020,6890.6,0.5118,73.21,92.16,54.79,1.392,4.186,58.37,5.436,8.356,49.34,0.5158,58.03,12.19,47.83,73.11,485.0,221576774
Morocco,MAR,Africa,2021,7261.6,0.5107,73.3,91.13,55.43,1.361,4.083,56.62,5.825,7.422,45.0,0.619,56.71,10.1,46.39,73.09,475.9,227095094
